trade_date,close,TermStructure,Volume,OI,pct_change,ma5,ma10
2015-10-16,20015.63362805339,-0.009808102345415778,846904.0,231280.0,-0.009808102345415959,20227.685560546666,20002.703632169512
2015-10-19,19593.253762517383,-0.021102497846683894,744708.0,243842.0,-0.02110249784668372,20077.697608295108,19965.63764396941
2015-10-20,19610.493757029057,0.0008798944126704796,634182.0,245416.0,0.0008798944126704455,19924.26165714121,19986.325637383423
2015-10-21,19213.973883260554,-0.02021978021978022,788790.0,268088.0,-0.020219780219780326,19729.449719159293,19963.051644792664
2015-10-22,19326.033847586437,0.005832211754149843,808910.0,261334.0,0.005832211754150052,19551.877775689052,19932.01965467165
2015-10-23,19498.433792703174,0.008920606601248885,1201470.0,252382.0,0.008920606601248826,19448.437808619008,19838.06168458303
2015-10-26,18929.513973817935,-0.029177718832891247,906754.0,276534.0,-0.02917771883289122,19315.689850879116,19696.6937295873
2015-10-27,18627.814069863645,-0.015938069216757743,912478.0,273706.0,-0.015938069216757556,19119.153913446033,19521.70778529381
2015-10-28,18670.91405614283,0.0023137436372049976,648244.0,275258.0,0.0023137436372049347,19010.54194802249,19369.995833591078
2015-10-29,18826.074006747895,0.008310249307479225,682066.0,272682.0,0.008310249307479367,18910.549979854775,19231.213877772105
2015-10-30,18636.43406711948,-0.010073260073260074,578832.0,274512.0,-0.010073260073260148,18738.15003473804,19093.293921678713
2015-11-02,18774.354023212873,0.0074005550416281225,547276.0,267450.0,0.007400555041628065,18707.118044617026,19011.403947748266
2015-11-03,18300.25417414184,-0.025252525252525252,598008.0,282622.0,-0.025252525252525304,18641.606065472668,18880.37998945954
2015-11-04,18455.414124746905,0.008478568064060292,556616.0,269508.0,0.008478568064060443,18598.506079193485,18804.524013608174
2015-11-05,18170.954215304286,-0.015413358243811303,651730.0,275284.0,-0.015413358243811293,18467.482120904762,18689.01605037996
2015-11-06,18179.57421256012,0.0004743833017077799,712326.0,269780.0,0.0004743833017077925,18376.110149992892,18557.130092365653
2015-11-09,18101.99423725759,-0.004267425320056899,615832.0,264354.0,-0.004267425320056861,18241.638192801835,18474.37811870962
2015-11-10,18515.754105537762,0.022857142857142857,742612.0,259960.0,0.02285714285714291,18284.73817908102,18463.172122277032
2015-11-11,18403.694141211883,-0.006052141527001862,815266.0,236670.0,-0.006052141527001842,18274.394182374017,18436.45013078394
2015-11-12,18550.23409456111,0.007962529274004685,647750.0,227914.0,0.007962529274004648,18350.250158225383,18408.86613956526
2015-11-13,18739.874034189525,0.010223048327137546,620878.0,205824.0,0.010223048327137718,18462.31012255126,18419.210136272264
2015-11-16,18136.474226280938,-0.03219871205151794,642898.0,220234.0,-0.03219871205151792,18469.20612035593,18355.422156579072
