trade_date,instrument_type,open,high,low,close,volume,oi,amount
2016-12-22,RU,31188.42919181147,31390.42679020403,29871.40485029197,29960.283793584695,482270.0,268276.0,9182206.55
2016-12-23,RU,29944.12398571329,30428.918221855438,29653.247444028002,30162.281391977256,465860.0,256046.0,8673267.16
2016-12-26,RU,30162.281391977256,30307.7196628199,28053.426464758915,28538.220700901064,548646.0,255752.0,9876761.48
2016-12-27,RU,28538.220700901064,29031.094840978913,27794.869538816438,28974.535513428997,506572.0,242772.0,8912723.0
2016-12-28,RU,29103.813976400234,29645.167540092298,28562.46041270817,28610.939836322385,491830.0,241916.0,8840864.83
2016-12-29,RU,28740.218299293625,29709.806771577918,28303.903486765692,29596.688116478083,494982.0,242236.0,8904657.58
2016-12-30,RU,29491.64936531395,29814.84552274205,28934.135993750482,29653.247444028002,412746.0,234266.0,7500032.69
2017-01-03,RU,29701.726867642217,30501.63735727676,29580.52830860668,29669.407251899407,352158.0,242004.0,6562511.9
2017-01-04,RU,29822.925426677753,30138.041680170147,28796.77762684354,29944.12398571329,581234.0,255616.0,10618196.21
2017-01-05,RU,29895.644562099074,29976.4436014561,29200.772823628664,29208.85272756437,505940.0,250880.0,9271618.69
2017-01-06,RU,29265.412055114284,29507.809173185356,28780.617818972136,28853.336954393457,443232.0,258706.0,7984840.42
2017-01-09,RU,28861.41685832916,30695.555051733616,28804.857530779245,30655.155532055105,525384.0,277264.0,9684071.51
2017-01-10,RU,30679.395243862215,31269.22823116849,30493.557453341058,31139.949768197253,486934.0,276020.0,9279762.13
2017-01-11,RU,31253.068423297085,31729.782755503533,30954.111977676097,31600.504292532292,453522.0,281938.0,8789588.39
2017-01-12,RU,31560.10477285378,33087.206616701544,31463.14592562535,32796.33007501625,673560.0,297160.0,13515074.03
2017-01-13,RU,32497.373629395264,33321.523830836915,32497.373629395264,32852.88940256617,536300.0,297392.0,10930515.59
2017-01-16,RU,32780.17026714485,35115.26250456286,32707.45113172353,34767.826635327656,579418.0,300430.0,12255166.87
2017-01-17,RU,34727.427115649145,35163.74192817707,33660.87979613642,34339.59172673542,574236.0,299436.0,12243305.15
2017-01-18,RU,34501.189805449474,34897.105098298896,33822.47787485047,34412.310862156744,539832.0,298870.0,11485077.97
2017-01-19,RU,34412.310862156744,34638.548172356415,33887.11710633609,34186.07355195708,479118.0,296140.0,10170786.02
2017-01-20,RU,34113.35441653575,34242.63287950699,31891.38083421758,31891.38083421758,732102.0,269548.0,14973438.66
2017-01-23,RU,31972.179873574605,32699.371227787826,31859.06121847477,32069.138720803036,379200.0,255162.0,7567633.91
2017-01-24,RU,32077.218624738736,32998.327673408814,31568.184676789482,32707.45113172353,489532.0,261052.0,9829549.46
2017-01-25,RU,32820.56978682336,33054.88700095873,32279.216223131298,32675.13151598072,349688.0,248458.0,7077298.21
2017-01-26,RU,32901.36882618039,34703.187403842036,32804.40997895196,34703.187403842036,442654.0,260568.0,9295747.93
