ts_code,symbol,exchange,name,fut_code,multiplier,trade_unit,per_unit,quote_unit,quote_unit_desc,d_mode_desc,list_date,delist_date,d_month,last_ddate
FU1903.SHF,FU1903,SHFE,燃油1903,FU,,吨,10.0,人民币元/吨,1人民币元/吨,实物交割,2018-03-01,2019-02-28,201903,2019-03-07
AL0207.SHF,AL0207,SHFE,沪铝0207,AL,,吨,5.0,人民币元/吨,5人民币元/吨,实物交割,2001-12-25,2002-07-15,200207,2002-07-22
CU0309.SHF,CU0309,SHFE,沪铜0309,CU,,吨,5.0,人民币元/吨,10人民币元/吨,实物交割,2002-11-22,2003-09-15,200309,2003-09-22
FU1904.SHF,FU1904,SHFE,燃油1904,FU,,吨,10.0,人民币元/吨,1人民币元/吨,实物交割,2018-04-02,2019-03-29,201904,2019-04-08
RB1004.SHF,RB1004,SHFE,螺纹钢1004,RB,,吨,10.0,人民币元/吨,1人民币元/吨,实物交割,2009-04-16,2010-04-15,201004,2010-04-22
AL1001.SHF,AL1001,SHFE,沪铝1001,AL,,吨,5.0,人民币元/吨,5人民币元/吨,实物交割,2009-01-16,2010-01-15,201001,2010-01-22
AG1904.SHF,AG1904,SHFE,沪银1904,AG,,千克,15.0,人民币元/千克,1人民币元/千克,实物交割,2018-04-17,2019-04-15,201904,2019-04-22
AL1904.SHF,AL1904,SHFE,沪铝1904,AL,,吨,5.0,人民币元/吨,5人民币元/吨,实物交割,2018-04-17,2019-04-15,201904,2019-04-22
AU1807.SHF,AU1807,SHFE,沪金1807,AU,,克,1000.0,人民币元/克,0.05人民币元/克,实物交割,2018-04-17,2018-07-16,201807,2018-07-23
BU1810.SHF,BU1810,SHFE,沥青1810,BU,,吨,10.0,人民币元/吨,2人民币元/吨,实物交割,2018-04-17,2018-10-15,201810,2018-10-22
CU1904.SHF,CU1904,SHFE,沪铜1904,CU,,吨,5.0,人民币元/吨,10人民币元/吨,实物交割,2018-04-17,2019-04-15,201904,2019-04-22
HC1904.SHF,HC1904,SHFE,热轧卷板1904,HC,,吨,10.0,人民币元/吨,1人民币元/吨,实物交割,2018-04-17,2019-04-15,201904,2019-04-22
NI1904.SHF,NI1904,SHFE,沪镍1904,NI,,吨,1.0,人民币元/吨,10人民币元/吨,实物交割,2018-04-17,2019-04-15,201904,2019-04-22
PB1904.SHF,PB1904,SHFE,沪铅1904,PB,,吨,5.0,人民币元/吨,5人民币元/吨,实物交割,2018-04-17,2019-04-15,201904,2019-04-22
RB1904.SHF,RB1904,SHFE,螺纹钢1904,RB,,吨,10.0,人民币元/吨,1人民币元/吨,实物交割,2018-04-17,2019-04-15,201904,2019-04-22
